news_id,category,subcategory,i,p
N108639,news,newsus,13078,notpoli
N108645,news,newsus,933,notpoli
N108655,news,newsus,16811,notpoli
N108725,news,newsscienceandtechnology,24075,notpoli
N108755,news,newsus,3438,notpoli
N108769,news,newsus,3636,notpoli
N10877,news,newsoffbeat,6537,notpoli
N108780,news,newsoffbeat,9531,notpoli
N10879,news,newsworld,9141,notpoli
N108805,news,newsgoodnews,382,notpoli
N108834,news,newsus,8665,notpoli
N108855,news,newsus,5775,notpoli
N108865,news,newsscienceandtechnology,27710,notpoli
N108874,news,newsscienceandtechnology,6944,notpoli
N108885,news,newsworld,8892,notpoli
N108896,news,newsus,7387,notpoli
N108904,news,newsus,5648,notpoli
N108923,news,newsus,21547,notpoli
N108924,news,newsscienceandtechnology,13044,notpoli
N108962,news,newscrime,10599,notpoli
N108970,news,newsus,26950,notpoli
N108980,news,newsoffbeat,16216,notpoli
N109035,news,newsus,19557,notpoli
N109047,news,newsoffbeat,10625,notpoli
N109059,news,newsworld,25722,notpoli
N109077,news,newsus,7351,notpoli
N109086,news,newsus,12175,notpoli
N109101,news,newsscienceandtechnology,11302,notpoli
N109121,news,newsus,25205,notpoli
N109147,news,newsscienceandtechnology,13398,notpoli
N109191,news,newsus,7580,notpoli
N109238,news,newsus,8235,notpoli
N109262,news,newsus,6488,notpoli
N109287,news,newsus,10969,notpoli
N10929,news,newsus,5294,notpoli
N109308,news,newscrime,19262,notpoli
N109313,news,newsus,4039,notpoli
N109336,news,newsus,21829,notpoli
N10934,news,newsus,10472,notpoli
N109344,news,newsworld,81,notpoli
N109345,news,newscrime,11912,notpoli
N109355,news,newscrime,3104,notpoli
N109364,news,newscrime,20003,notpoli
N109374,news,newscrime,18735,notpoli
N109388,news,newsscienceandtechnology,9092,notpoli
N109395,news,newsus,3394,notpoli
N109426,news,newsscienceandtechnology,6948,notpoli
N109432,news,newsoffbeat,11245,notpoli
N109437,news,newsus,13599,notpoli
N10947,news,newsus,16977,notpoli
N109486,news,newsus,13684,notpoli
N10951,news,newscrime,9802,notpoli
N109540,news,newsscienceandtechnology,25357,notpoli
N109561,news,newsus,10441,notpoli
N109574,news,newsus,20363,notpoli
N109583,news,newsus,14650,notpoli
N109597,news,newscrime,21536,notpoli
N109601,news,newsus,5363,notpoli
N109605,news,newsus,1066,notpoli
N109606,news,newsus,897,notpoli
N109607,news,newsus,14598,notpoli
N109609,news,newsworld,28881,notpoli
N109631,news,newsworld,7164,notpoli
N109642,news,newsphotos,90,notpoli
N109712,news,newsus,4580,notpoli
N109714,news,newsus,19284,notpoli
N109737,news,newscrime,11359,notpoli
N109758,news,newsscienceandtechnology,19646,notpoli
N109762,news,newsworld,757,notpoli
N109797,news,newsus,10463,notpoli
N109802,news,newscrime,21261,notpoli
N109845,news,newsus,6509,notpoli
N109850,news,newsworld,25851,notpoli
N109852,news,newsgoodnews,320,notpoli
N109868,news,newsus,20223,notpoli
N109881,news,newsus,7266,notpoli
N109887,news,newsus,1437,notpoli
N109897,news,newsscienceandtechnology,4350,notpoli
N109904,news,newsus,5127,notpoli
N109908,news,newsopinion,18047,notpoli
N109944,news,newsscienceandtechnology,27706,notpoli
N109978,news,newscrime,13925,notpoli
N110004,news,newsus,6353,notpoli
N110008,news,newsus,1918,notpoli
N110012,news,newsus,19544,notpoli
N110022,news,newscrime,9740,notpoli
N110025,news,newscrime,6345,notpoli
N110045,news,newsus,13461,notpoli
N110048,news,newsworld,1003,notpoli
N110073,news,newsus,440,notpoli
N110081,news,newsus,27496,notpoli
N1101,news,newsscienceandtechnology,4681,notpoli
N110107,news,newsus,8371,notpoli
N110120,news,newsus,18026,notpoli
N110149,news,newscrime,7506,notpoli
N110150,news,newsopinion,1672,notpoli
N110175,news,newsus,1358,notpoli
N110180,news,newsgoodnews,24007,notpoli
N110195,news,newsworld,17554,notpoli
N110205,news,newscrime,14715,notpoli
N110243,news,newsworld,10491,notpoli
N110300,news,newsscienceandtechnology,5385,notpoli
N110308,news,newsworld,18740,notpoli
N110322,news,newsus,6111,notpoli
N110341,news,newsus,1106,notpoli
N110344,news,newsus,11056,notpoli
N110347,news,newsus,9681,notpoli
N110379,news,newsus,19172,notpoli
N110412,news,newsus,23977,notpoli
N110417,news,newsus,24050,notpoli
N110428,news,newsus,10183,notpoli
N110459,news,newsus,7433,notpoli
N110460,news,newsus,22323,notpoli
N110462,news,newsus,17162,notpoli
N11049,news,newscrime,20848,notpoli
N110503,news,newsus,5904,notpoli
N110507,news,newsus,11951,notpoli
N11051,news,newsscienceandtechnology,29202,notpoli
N110523,news,newsworld,1607,notpoli
N110539,news,newsus,20547,notpoli
N11058,news,newsus,4861,notpoli
N11060,news,newsus,5424,notpoli
N110601,news,newsus,19891,notpoli
N110610,news,newsscienceandtechnology,20269,notpoli
N110639,news,newsus,16826,notpoli
N110657,news,newsus,8967,notpoli
N11066,news,newsus,5167,notpoli
N110660,news,newsus,11752,notpoli
N110661,news,newsopinion,10329,notpoli
N110666,news,newsus,9839,notpoli
N110667,news,newsworld,1790,notpoli
N110669,news,newsus,7252,notpoli
N110688,news,newsscienceandtechnology,24107,notpoli
N110699,news,newsus,7614,notpoli
N110702,news,newsus,21283,notpoli
N110729,news,newsus,25494,notpoli
N110750,news,newsus,5333,notpoli
N110777,news,newscrime,17037,notpoli
N110801,news,newsus,28129,notpoli
N110803,news,newsworld,8244,notpoli
N110809,news,newsworld,7062,notpoli
N11081,news,newsus,5460,notpoli
N11082,news,newsus,15551,notpoli
N110844,news,newsgoodnews,25005,notpoli
N110894,news,newsus,28118,notpoli
N110925,news,newsus,281,notpoli
N110946,news,newsus,28261,notpoli
N110952,news,newsworld,20710,notpoli
N110967,news,newsgoodnews,4425,notpoli
N111030,news,newsus,7239,notpoli
N111050,news,newsworld,25211,notpoli
N111088,news,newsworld,1042,notpoli
N111104,news,newsus,11776,notpoli
N111105,news,newsus,27884,notpoli
N111130,news,newsus,16638,notpoli
N111159,news,newscrime,11365,notpoli
N111172,news,newsscienceandtechnology,25435,notpoli
N111214,news,newsopinion,1668,notpoli
N111228,news,newsscienceandtechnology,24108,notpoli
N111244,news,newsus,7619,notpoli
N111260,news,newsus,23672,notpoli
N11133,news,newscrime,8948,notpoli
N111343,news,newsus,14453,notpoli
N111353,news,newsscienceandtechnology,22643,notpoli
N111359,news,newsus,25685,notpoli
N111362,news,newsus,25732,notpoli
N11138,news,newsworld,4167,notpoli
N111393,news,newscrime,26277,notpoli
N111408,news,newscrime,27972,notpoli
N111410,news,newsoffbeat,7161,notpoli
N11142,news,newsus,8735,notpoli
N111470,news,newsscienceandtechnology,13873,notpoli
N111491,news,newscrime,21666,notpoli
N111501,news,newsworld,7812,notpoli
N111521,news,newsoffbeat,26511,notpoli
N111550,news,newsworld,643,notpoli
N111556,news,newsoffbeat,6331,notpoli
N111564,news,newsus,17582,notpoli
N111565,news,newscrime,20376,notpoli
N11157,news,newsscienceandtechnology,25159,notpoli
N111570,news,newsworld,25701,notpoli
N111610,news,newsus,5759,notpoli
N111616,news,newscrime,17170,notpoli
N111644,news,newscrime,28266,notpoli
N111678,news,newsscienceandtechnology,9706,notpoli
N111688,news,newsus,23946,notpoli
N111728,news,newsus,6405,notpoli
N111760,news,newsus,9303,notpoli
N111765,news,newsscienceandtechnology,24695,notpoli
N111809,news,newsus,25686,notpoli
N111840,news,newsus,4033,notpoli
N111843,news,newsus,16864,notpoli
N111854,news,newsworld,1558,notpoli
N111866,news,newsus,16986,notpoli
N111869,news,newsoffbeat,27877,notpoli
N111878,news,newsscienceandtechnology,6404,notpoli
N111898,news,newsus,19027,notpoli
N111912,news,newsus,9477,notpoli
N111927,news,newsus,12543,notpoli
N111932,news,newsus,19065,notpoli
N111989,news,newsus,18039,notpoli
N1120,news,newsus,10831,notpoli
N112030,news,newsus,27481,notpoli
N112031,news,newsoffbeat,9758,notpoli
N112038,news,newsus,21161,notpoli
N112109,news,newscrime,21956,notpoli
N112125,news,newsworld,842,notpoli
N112162,news,newsscienceandtechnology,3606,notpoli
N112170,news,newsworld,9952,notpoli
N112178,news,newsus,5570,notpoli
N112184,news,newsus,7102,notpoli
N112195,news,newsus,23158,notpoli
N112197,news,newsus,18085,notpoli
N112228,news,newsus,10787,notpoli
N112234,news,newscrime,8249,notpoli
N112248,news,newsus,14368,notpoli
N112249,news,newsus,10916,notpoli
N112284,news,newsopinion,3583,notpoli
N112289,news,newsus,18513,notpoli
N112290,news,newsus,21315,notpoli
N112296,news,newsus,17141,notpoli
N112306,news,newsscienceandtechnology,26502,notpoli
N112312,news,newsscienceandtechnology,27552,notpoli
N112315,news,newsus,23603,notpoli
N112360,news,newsscienceandtechnology,10365,notpoli
N112364,news,newsus,11682,notpoli
N112378,news,newscrime,376,notpoli
N11239,news,newsus,27677,notpoli
N112411,news,newscrime,10647,notpoli
N112443,news,newsus,25605,notpoli
N112448,news,newsus,22996,notpoli
N112472,news,newsscienceandtechnology,2564,notpoli
N112491,news,newsus,5771,notpoli
N11255,news,newsus,8415,notpoli
N112576,news,newsus,27044,notpoli
N112589,news,newsus,14442,notpoli
N112621,news,newsus,7085,notpoli
N112724,news,newsus,10788,notpoli
N112758,news,newsopinion,2018,notpoli
N112788,news,newscrime,22911,notpoli
N112802,news,newsscienceandtechnology,27163,notpoli
N11281,news,newsus,9523,notpoli
N112817,news,newsus,5582,notpoli
N112820,news,newscrime,17698,notpoli
N112833,news,newscrime,5900,notpoli
N112902,news,newsus,27593,notpoli
N112941,news,newscrime,16825,notpoli
N112944,news,newsus,2614,notpoli
N112979,news,newsus,24605,notpoli
N11298,news,newsus,14412,notpoli
N113002,news,newsus,25655,notpoli
N113016,news,newsscienceandtechnology,22646,notpoli
N113047,news,newsus,2138,notpoli
N113064,news,newsus,28042,notpoli
N113088,news,newsus,14106,notpoli
N113093,news,newsworld,11233,notpoli
N113095,news,newsscienceandtechnology,6707,notpoli
N113146,news,newsworld,18679,notpoli
N113152,news,newsus,5853,notpoli
N113163,news,newsus,5674,notpoli
N113183,news,newsscienceandtechnology,7679,notpoli
N113216,news,newsoffbeat,12731,notpoli
N113224,news,newsus,14587,notpoli
N113234,news,newsus,14834,notpoli
N113256,news,newsus,5444,notpoli
N11326,news,newsus,19998,notpoli
N113268,news,newscrime,6546,notpoli
N113293,news,newscrime,17965,notpoli
N113306,news,newscrime,5404,notpoli
N113316,news,newsus,27611,notpoli
N113321,news,newsus,11674,notpoli
N113333,news,newsus,29243,notpoli
N113349,news,newsus,16495,notpoli
N113351,news,newsus,5637,notpoli
N113386,news,newsworld,23202,notpoli
N113402,news,newsus,11416,notpoli
N113436,news,newsus,18327,notpoli
N11346,news,newsus,10240,notpoli
N113469,news,newsus,14787,notpoli
N113483,news,newsus,7620,notpoli
N11349,news,newsphotos,8081,notpoli
N113491,news,newsus,4854,notpoli
N113493,news,newsus,9722,notpoli
N113510,news,newsus,25634,notpoli
N113555,news,newsworld,23788,notpoli
N113557,news,newsus,19512,notpoli
N113581,news,newsscience,12084,notpoli
N113592,news,newsus,10051,notpoli
N11362,news,newsscienceandtechnology,9380,notpoli
N113624,news,newsus,11320,notpoli
N113633,news,newsus,9091,notpoli
N113635,news,newsus,4811,notpoli
N113651,news,newsus,14640,notpoli
N113680,news,newsus,134,notpoli
N11371,news,newsus,8962,notpoli
N113715,news,newsus,24671,notpoli
N113721,news,newsscienceandtechnology,13446,notpoli
N113725,news,newsus,18043,notpoli
N113735,news,newsworld,2172,notpoli
N113741,news,newsworld,2179,notpoli
N113753,news,newsworld,13622,notpoli
N113792,news,newsus,1808,notpoli
N113800,news,newscrime,7097,notpoli
N11381,news,newsus,14614,notpoli
N113813,news,newsus,4860,notpoli
N113822,news,newsus,9086,notpoli
N113826,news,newsus,10587,notpoli
N113827,news,newsus,6512,notpoli
N113847,news,newsus,21798,notpoli
N113920,news,newsscienceandtechnology,26512,notpoli
N113921,news,newsscienceandtechnology,2468,notpoli
N113925,news,newsus,27938,notpoli
N113947,news,newsus,13175,notpoli
N113988,news,newsus,13544,notpoli
N113999,news,newscrime,6116,notpoli
N114032,news,newsscienceandtechnology,26455,notpoli
N114043,news,newsus,25427,notpoli
N11407,news,newsus,14333,notpoli
N114093,news,newsus,7498,notpoli
N114096,news,newsoffbeat,22352,notpoli
N114103,news,newsus,5354,notpoli
N114145,news,newscrime,16569,notpoli
N114157,news,newscrime,4972,notpoli
N114201,news,newsus,22926,notpoli
N114223,news,newsus,10474,notpoli
N114242,news,newscrime,25768,notpoli
N11425,news,newscrime,5397,notpoli
N114250,news,newsus,9419,notpoli
N114252,news,newscrime,1926,notpoli
N114262,news,newsscienceandtechnology,9483,notpoli
N114273,news,newsus,23738,notpoli
N11429,news,newsus,28969,notpoli
N114296,news,newsus,10215,notpoli
N114347,news,newsscienceandtechnology,3003,notpoli
N114371,news,newsus,4676,notpoli
N114384,news,newsus,8929,notpoli
N114385,news,newsus,28466,notpoli
N114388,news,newsus,19987,notpoli
N114401,news,newsus,17709,notpoli
N114408,news,newscrime,2279,notpoli
N114435,news,newsus,3423,notpoli
N114452,news,newsus,21796,notpoli
N114468,news,newsopinion,1118,notpoli
N114484,news,newsus,28674,notpoli
N114491,news,newsus,16700,notpoli
N114492,news,newsoffbeat,15418,notpoli
N114526,news,newsscienceandtechnology,827,notpoli
N114536,news,newsscienceandtechnology,10458,notpoli
N114561,news,newsus,25928,notpoli
N114640,news,newsoffbeat,11258,notpoli
N114649,news,newsus,23237,notpoli
N114667,news,newsus,26831,notpoli
N114715,news,newsscienceandtechnology,26371,notpoli
N114734,news,newsus,18333,notpoli
N114769,news,newsus,6901,notpoli
N114770,news,newsus,15996,notpoli
N11478,news,newsus,26105,notpoli
N114790,news,newsus,12138,notpoli
N114795,news,newsus,24720,notpoli
N114815,news,newscrime,7276,notpoli
N114847,news,newsscienceandtechnology,4211,notpoli
N114858,news,newscrime,3894,notpoli
N114868,news,newsus,10350,notpoli
N114909,news,newsworld,19917,notpoli
N114942,news,newsus,27608,notpoli
N114950,news,newsus,13234,notpoli
N114954,news,newsopinion,5153,notpoli
N114975,news,newsworld,15362,notpoli
N114985,news,newsus,7809,notpoli
N114999,news,newsus,22797,notpoli
N115020,news,newsus,26515,notpoli
N115038,news,newsscienceandtechnology,27226,notpoli
N115046,news,newsus,17367,notpoli
N115093,news,newsscienceandtechnology,22541,notpoli
N115133,news,newsus,15722,notpoli
N115138,news,newsus,28390,notpoli
N115168,news,newsus,25804,notpoli
N115195,news,newsus,24378,notpoli
N115212,news,newsus,17434,notpoli
N115214,news,newsus,23774,notpoli
N115216,news,newsus,11299,notpoli
N115226,news,newscrime,3581,notpoli
N115250,news,newsus,5533,notpoli
N11529,news,newscrime,12762,notpoli
N11530,news,newsus,2877,notpoli
N115307,news,newsscienceandtechnology,24480,notpoli
N115312,news,newsus,27578,notpoli
N115314,news,newscrime,24208,notpoli
N115325,news,newsus,6280,notpoli
N115337,news,newsscienceandtechnology,23724,notpoli
N115361,news,newsscienceandtechnology,6831,notpoli
N115369,news,newsoffbeat,16767,notpoli
N115395,news,newsus,19832,notpoli
N115398,news,newsus,11675,notpoli
N115407,news,newsus,5310,notpoli
N11544,news,newsus,8825,notpoli
N115442,news,newsus,9620,notpoli
N115491,news,newsworld,3370,notpoli
N115505,news,newsworld,19198,notpoli
N115513,news,newsoffbeat,11477,notpoli
N115575,news,newsus,22525,notpoli
N115590,news,newsus,29132,notpoli
N115626,news,newsus,27397,notpoli
N115662,news,newsoffbeat,2532,notpoli
N115716,news,newsoffbeat,8919,notpoli
N115724,news,newsphotos,75,notpoli
N115729,news,newsscienceandtechnology,24732,notpoli
N115739,news,newsworld,20056,notpoli
N115797,news,newsus,21695,notpoli
N115822,news,newsus,27656,notpoli
N115829,news,newsworld,1415,notpoli
N115835,news,newsus,24936,notpoli
N11584,news,newsus,4717,notpoli
N115844,news,newsscienceandtechnology,20101,notpoli
N115854,news,newsus,20933,notpoli
N115901,news,newscrime,15012,notpoli
N115935,news,newsus,19108,notpoli
N115978,news,newsus,27455,notpoli
N11601,news,newsus,25641,notpoli
N116016,news,newsworld,27016,notpoli
N116025,news,newscrime,22377,notpoli
N116050,news,newsworld,14104,notpoli
N116055,news,newscrime,11498,notpoli
N11610,news,newscrime,13178,notpoli
N11611,news,newsworld,9761,notpoli
N116119,news,newsus,7310,notpoli
N116122,news,newsus,15651,notpoli
N11614,news,newsus,18667,notpoli
N116161,news,newsus,27310,notpoli
N116189,news,newsus,7516,notpoli
N11619,news,newsoffbeat,24831,notpoli
N116263,news,newsscienceandtechnology,18786,notpoli
N11628,news,newsus,25987,notpoli
N116281,news,newsoffbeat,2256,notpoli
N116283,news,newscrime,17123,notpoli
N116290,news,newsscienceandtechnology,24821,notpoli
N116308,news,newsus,9181,notpoli
N116322,news,newsscienceandtechnology,23360,notpoli
N116327,news,newsus,29054,notpoli
N116365,news,newsscienceandtechnology,25857,notpoli
N116380,news,newsus,25726,notpoli
N116419,news,newscrime,17057,notpoli
N116446,news,newsscienceandtechnology,14235,notpoli
N116470,news,newsopinion,26700,notpoli
N116471,news,newsus,10086,notpoli
N116512,news,newsus,18759,notpoli
N116519,news,newsus,22549,notpoli
N116558,news,newscrime,4836,notpoli
N116564,news,newsus,17604,notpoli
N116571,news,newsus,20436,notpoli
N11658,news,newsus,18553,notpoli
N116590,news,newsworld,19352,notpoli
N116607,news,newsus,11896,notpoli
N116620,news,newsus,7944,notpoli
N116628,news,newscrime,2393,notpoli
N116635,news,newscrime,28271,notpoli
N116655,news,newsoffbeat,8724,notpoli
N116657,news,newsus,23707,notpoli
N116673,news,newsscienceandtechnology,4684,notpoli
N116675,news,newsus,12330,notpoli
N116681,news,newsus,21701,notpoli
N1167,news,newsus,16205,notpoli
N116721,news,newsus,11044,notpoli
N116741,news,newsus,21723,notpoli
N116752,news,newsus,12263,notpoli
N116766,news,newsus,13804,notpoli
N116784,news,newsbusiness,7454,notpoli
N116792,news,newsus,8151,notpoli
N116803,news,newsscienceandtechnology,12613,notpoli
N116810,news,newsus,14042,notpoli
N116830,news,newscrime,4837,notpoli
N116840,news,newsworld,14804,notpoli
N116876,news,newsscienceandtechnology,14154,notpoli
N116882,news,newsus,5881,notpoli
N116904,news,newscrime,2273,notpoli
N116970,news,newsus,5844,notpoli
N116972,news,newsus,27399,notpoli
N116987,news,newsus,25268,notpoli
N117041,news,newsscienceandtechnology,18533,notpoli
N117046,news,newsus,28820,notpoli
N117051,news,newsus,2295,notpoli
N11706,news,newsworld,27249,notpoli
N117062,news,newscrime,20197,notpoli
N117117,news,newsus,28880,notpoli
N117132,news,newsus,24132,notpoli
N117133,news,newsus,16807,notpoli
N117141,news,newsus,11721,notpoli
N117151,news,newsus,5193,notpoli
N117156,news,newsscienceandtechnology,25356,notpoli
N117166,news,newsus,16196,notpoli
N117183,news,newsgoodnews,533,notpoli
N117210,news,newsus,25606,notpoli
N117218,news,newsus,25369,notpoli
N117226,news,newsus,27819,notpoli
N117243,news,newsus,3976,notpoli
N117317,news,newsus,28687,notpoli
N11733,news,newscrime,25769,notpoli
N117345,news,newsus,10024,notpoli
N11737,news,newsus,29162,notpoli
N117383,news,newsus,8950,notpoli
N117396,news,newsscienceandtechnology,17814,notpoli
N117400,news,newsus,27321,notpoli
N117405,news,newsscienceandtechnology,15272,notpoli
N117406,news,newsus,16418,notpoli
N117437,news,newsus,14755,notpoli
N117454,news,newsus,7806,notpoli
N117472,news,newsscienceandtechnology,9410,notpoli
N117494,news,newsus,14441,notpoli
N117523,news,newscrime,4392,notpoli
N117564,news,newsus,3362,notpoli
N117589,news,newsus,11111,notpoli
N1176,news,newsus,18850,notpoli
N117617,news,newscrime,15024,notpoli
N117637,news,newsus,10952,notpoli
N11768,news,newscrime,9354,notpoli
N117693,news,newsscienceandtechnology,11153,notpoli
N117704,news,newsoffbeat,12935,notpoli
N117716,news,newsus,9568,notpoli
N117731,news,newsscienceandtechnology,29308,notpoli
N117736,news,newsscienceandtechnology,5301,notpoli
N117737,news,newsus,28492,notpoli
N117798,news,newsus,24104,notpoli
N117807,news,newsus,10996,notpoli
N117826,news,newsscienceandtechnology,19425,notpoli
N117889,news,newsscienceandtechnology,13877,notpoli
N117899,news,newscrime,7211,notpoli
N117923,news,newsus,21450,notpoli
N117930,news,newsscienceandtechnology,25513,notpoli
N117935,news,newsus,13706,notpoli
N117951,news,newsus,1641,notpoli
N117959,news,newsus,7324,notpoli
N117974,news,newsus,1313,notpoli
N117977,news,newsgoodnews,24368,notpoli
N117982,news,newsus,23498,notpoli
N118011,news,newsus,11446,notpoli
N118020,news,newsus,15113,notpoli
N11805,news,newsscienceandtechnology,27205,notpoli
N118055,news,newsus,15508,notpoli
N118068,news,newsus,19377,notpoli
N118077,news,newsus,4268,notpoli
N118113,news,newsus,28031,notpoli
N118115,news,newsus,21064,notpoli
N118123,news,newsus,21612,notpoli
N118137,news,newsus,23985,notpoli
N118141,news,newsus,12607,notpoli
N118168,news,newsus,13289,notpoli
N118172,news,newsus,8520,notpoli
N118173,news,newsworld,623,notpoli
N11821,news,newsus,17237,notpoli
N118262,news,newsus,27586,notpoli
N118263,news,newscrime,15330,notpoli
N118279,news,newsus,27317,notpoli
N118398,news,newsgoodnews,25861,notpoli
N118432,news,newscrime,7209,notpoli
N118433,news,newsus,13609,notpoli
N11846,news,newsworld,220,notpoli
N118467,news,newsus,13311,notpoli
N118471,news,newscrime,4384,notpoli
N118486,news,newscrime,1935,notpoli
N11853,news,newsus,13280,notpoli
N118534,news,newsus,6884,notpoli
N118551,news,newsscienceandtechnology,8085,notpoli
N11858,news,newsscienceandtechnology,26752,notpoli
N118580,news,newsus,11856,notpoli
N118590,news,newsscienceandtechnology,18492,notpoli
N118619,news,newsscienceandtechnology,24774,notpoli
N118620,news,newsus,15470,notpoli
N118685,news,newsus,24551,notpoli
N118694,news,newsus,15414,notpoli
N118708,news,newsus,16763,notpoli
N118713,news,newsus,23116,notpoli
N118743,news,newscrime,22421,notpoli
N118753,news,newsus,28643,notpoli
N118765,news,newsworld,20749,notpoli
N118775,news,newsus,7222,notpoli
N118792,news,newsus,17144,notpoli
N118795,news,newsus,7394,notpoli
N118808,news,newsus,15811,notpoli
N118831,news,newsus,5392,notpoli
N118846,news,newsus,8374,notpoli
N118847,news,newsus,27483,notpoli
N11885,news,newsus,15179,notpoli
N118854,news,newsus,11140,notpoli
N118858,news,newscrime,20840,notpoli
N118883,news,newsus,585,notpoli
N118884,news,newsus,16379,notpoli
N118907,news,newsworld,20648,notpoli
N118944,news,newsus,2661,notpoli
N118970,news,newsus,13506,notpoli
N118994,news,newscrime,11259,notpoli
N119006,news,newsus,8814,notpoli
N119008,news,newsworld,7002,notpoli
N119033,news,newsus,12523,notpoli
N119042,news,newsus,18619,notpoli
N119057,news,newsworld,1314,notpoli
N119062,news,newsus,18005,notpoli
N119072,news,newsus,16051,notpoli
N119083,news,newscrime,24782,notpoli
N119092,news,newsus,26830,notpoli
N119133,news,newsscienceandtechnology,15711,notpoli
N119142,news,newsscienceandtechnology,1791,notpoli
N119149,news,newsus,11442,notpoli
N119153,news,newscrime,3809,notpoli
N119169,news,newsoffbeat,10396,notpoli
N1192,news,newsus,29231,notpoli
N11923,news,newsus,13566,notpoli
N119233,news,newsus,9971,notpoli
N119268,news,newscrime,1810,notpoli
N119317,news,newsopinion,2012,notpoli
N119329,news,newsbusiness,21155,notpoli
N119336,news,newsus,7905,notpoli
N119341,news,newsus,23687,notpoli
N119349,news,newsus,6942,notpoli
N119365,news,newsopinion,19454,notpoli
N11939,news,newsus,20748,notpoli
N119397,news,newsus,3472,notpoli
N119413,news,newsscienceandtechnology,27943,notpoli
N119424,news,newsus,9738,notpoli
N119440,news,newsoffbeat,6869,notpoli
N119444,news,newscrime,5207,notpoli
N119455,news,newsus,1842,notpoli
N119468,news,newsscienceandtechnology,5008,notpoli
N119475,news,newsscienceandtechnology,11596,notpoli
N119526,news,newsworld,8333,notpoli
N119534,news,newsus,5633,notpoli
N119536,news,newsus,16542,notpoli
N119544,news,newsus,8560,notpoli
N11961,news,newsus,16306,notpoli
N119622,news,newsus,15691,notpoli
N119623,news,newsus,19864,notpoli
N119625,news,newsoffbeat,19521,notpoli
N119630,news,newsscienceandtechnology,25551,notpoli
N119652,news,newsscienceandtechnology,14637,notpoli
N119656,news,newsscienceandtechnology,8287,notpoli
N119673,news,newsus,15870,notpoli
N119703,news,newsus,19346,notpoli
N11972,news,newsus,15787,notpoli
N119723,news,newsus,4625,notpoli
N119751,news,newsscienceandtechnology,24076,notpoli
N119762,news,newsworld,286,notpoli
N119769,news,newsus,27601,notpoli
N119839,news,newsus,11841,notpoli
N119849,news,newsus,9313,notpoli
N11989,news,newsworld,15901,notpoli
N119904,news,newsus,18139,notpoli
N119944,news,newsoffbeat,9898,notpoli
N11995,news,newsworld,18112,notpoli
N119978,news,newsus,14646,notpoli
N119984,news,newsscienceandtechnology,10155,notpoli
N119988,news,newsworld,1380,notpoli
N120019,news,newsus,16957,notpoli
N120065,news,newsus,13951,notpoli
N120109,news,newsscienceandtechnology,26868,notpoli
N120135,news,newsus,7632,notpoli
N120147,news,newsworld,125,notpoli
N120163,news,newsus,6070,notpoli
N120164,news,newsus,11379,notpoli
N120165,news,newsscienceandtechnology,11159,notpoli
N120207,news,newsus,6805,notpoli
N120208,news,newsworld,1695,notpoli
N120219,news,newsus,9854,notpoli
N120222,news,newsus,1864,notpoli
N120243,news,newscrime,13774,notpoli
N120278,news,newsus,10663,notpoli
N120284,news,newsoffbeat,25350,notpoli
N120310,news,newsus,16009,notpoli
N120332,news,newscrime,1669,notpoli
N120335,news,newsus,22575,notpoli
N120358,news,newsus,14827,notpoli
N120360,news,newsus,10864,notpoli
N120392,news,newsus,13854,notpoli
N120405,news,newsoffbeat,8908,notpoli
N120411,news,newsus,13662,notpoli
N120416,news,newscrime,7542,notpoli
N120436,news,newsus,27934,notpoli
N120447,news,newsus,9948,notpoli
N12046,news,newsus,10380,notpoli
N120485,news,newscrime,17258,notpoli
N120515,news,newsus,15223,notpoli
N120536,news,newsus,15747,notpoli
N120569,news,newsus,12141,notpoli
N120579,news,newsus,5592,notpoli
N120604,news,newsus,23771,notpoli
N120606,news,newsus,15032,notpoli
N12061,news,newsscienceandtechnology,26453,notpoli
N120610,news,newsus,22320,notpoli
N120624,news,newscrime,24864,notpoli
N120643,news,newscrime,23478,notpoli
N120649,news,newscrime,8386,notpoli
N120675,news,newsworld,2466,notpoli
N120682,news,newsus,14224,notpoli
N120686,news,newsus,12233,notpoli
N120706,news,newsus,10314,notpoli
N120709,news,newsus,9047,notpoli
N120766,news,newsus,11528,notpoli
N120772,news,newscrime,16232,notpoli
N120776,news,newsworld,8365,notpoli
N120788,news,newsus,28445,notpoli
N120798,news,newsus,6814,notpoli
N120829,news,newsus,21702,notpoli
N120842,news,newscrime,9438,notpoli
N12086,news,newsus,22222,notpoli
N120869,news,newsworld,3129,notpoli
N120923,news,newsus,9202,notpoli
N120975,news,newsus,15334,notpoli
N12107,news,newsus,1602,notpoli
N121155,news,newscrime,9372,notpoli
N121160,news,newsus,16200,notpoli
N121169,news,newsus,16650,notpoli
N121208,news,newsus,27382,notpoli
N121246,news,newsus,9300,notpoli
N121251,news,newscrime,18907,notpoli
N121292,news,newsscienceandtechnology,23960,notpoli
N12130,news,newsus,10358,notpoli
N121309,news,newsus,8306,notpoli
N121325,news,newsus,20264,notpoli
N121334,news,newsscienceandtechnology,6793,notpoli
N12138,news,newsscienceandtechnology,24469,notpoli
N121381,news,newsus,6799,notpoli
N121421,news,newsus,4897,notpoli
N121436,news,newsus,13216,notpoli
N121460,news,newsus,11323,notpoli
N121480,news,newsscienceandtechnology,25511,notpoli
